mysql_version	port	innodb_page_size	sql_mode	foreign_key_checks
8.0.46	13306	16384	ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION	1
object_type	object_count
tables	19
columns	154
PRIMARY KEY	19
UNIQUE	13
FOREIGN KEY	40
CHECK	51
all_indexes	56
ordinary_indexes	24
routines	0
triggers	0
views	0
TABLE_NAME	CONSTRAINT_NAME	DELETE_RULE	UPDATE_RULE
defects	fk_defects_assignee_id	RESTRICT	RESTRICT
defects	fk_defects_project_id	RESTRICT	RESTRICT
defects	fk_defects_reporter_id	RESTRICT	RESTRICT
project_counters	fk_project_counters_project_id	RESTRICT	RESTRICT
project_members	fk_project_members_project_id	RESTRICT	RESTRICT
project_members	fk_project_members_user_id	RESTRICT	RESTRICT
projects	fk_projects_created_by	RESTRICT	RESTRICT
requirements	fk_requirements_created_by	RESTRICT	RESTRICT
requirements	fk_requirements_project_id	RESTRICT	RESTRICT
test_attempt_defects	fk_test_attempt_defects_attempt_id	RESTRICT	RESTRICT
test_attempt_defects	fk_test_attempt_defects_defect_id	RESTRICT	RESTRICT
test_attempt_defects	fk_test_attempt_defects_linked_by	RESTRICT	RESTRICT
test_attempts	fk_test_attempts_automation_mapping_id	RESTRICT	RESTRICT
test_attempts	fk_test_attempts_executed_by	RESTRICT	RESTRICT
test_attempts	fk_test_attempts_import_id	RESTRICT	RESTRICT
test_attempts	fk_test_attempts_test_run_case_id	RESTRICT	RESTRICT
test_automation_identities	fk_test_automation_identities_project_id	RESTRICT	RESTRICT
test_automation_mappings	fk_test_automation_mappings_automation_identity_id	RESTRICT	RESTRICT
test_automation_mappings	fk_test_automation_mappings_created_by	RESTRICT	RESTRICT
test_automation_mappings	fk_test_automation_mappings_test_case_id	RESTRICT	RESTRICT
test_case_requirements	fk_test_case_requirements_linked_by	RESTRICT	RESTRICT
test_case_requirements	fk_test_case_requirements_requirement_id	RESTRICT	RESTRICT
test_case_requirements	fk_test_case_requirements_reviewed_by	RESTRICT	RESTRICT
